id,clave_unica,nombre_obra,programa,dg,accion,concepto,cantidad,unidad,usuario_actualizacion,fecha_captura,usuario_edicion,fecha_edicion,tipo_alcance
1,PLATSOBSE-DGSUS-YOLOTL-SAN_GREGORIO_ATLAPULCO_(PBLO)-62,SAN GREGORIO ATLAPULCO (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,FONDEO EN FACHADAS,130153.0,m²,actualizacion_dgsus,2026-05-25 18:26:28.762,,,SIN CLASIFICAR
2,PLATSOBSE-DGSUS-YOLOTL-SAN_GREGORIO_ATLAPULCO_(PBLO)-62,SAN GREGORIO ATLAPULCO (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,NUMERO DE CASAS,1332.0,CASA (S),actualizacion_dgsus,2026-05-25 18:26:28.842,,,SIN CLASIFICAR
3,PLATSOBSE-DGSUS-YOLOTL-SAN_ANDRES_MIXQUIC_(PBLO)-61,SAN ANDRES MIXQUIC (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,FONDEO EN FACHADAS,125526.0,m²,actualizacion_dgsus,2026-05-25 18:30:35.474,,,SIN CLASIFICAR
4,PLATSOBSE-DGSUS-YOLOTL-SAN_ANDRES_MIXQUIC_(PBLO)-61,SAN ANDRES MIXQUIC (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,NUMERO DE CASAS,1725.0,CASA (S),actualizacion_dgsus,2026-05-25 18:30:35.904,,,SIN CLASIFICAR
5,PLATSOBSE-DGSUS-YOLOTL-SAN_JUAN_TLIHUACA_(PBLO)-58,SAN JUAN TLIHUACA (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,FONDEO EN FACHADAS,69350.0,m²,actualizacion_dgsus,2026-05-25 18:31:15.705,,,SIN CLASIFICAR
6,PLATSOBSE-DGSUS-YOLOTL-SAN_JUAN_TLIHUACA_(PBLO)-58,SAN JUAN TLIHUACA (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,NUMERO DE CASAS,750.0,CASA (S),actualizacion_dgsus,2026-05-25 18:31:15.844,,,SIN CLASIFICAR
7,PLATSOBSE-DGSUS-YOLOTL-SAN_LORENZO_HUIPULCO_(PBLO)-59,SAN LORENZO HUIPULCO (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,NUMERO DE CASAS,360.0,CASA (S),actualizacion_dgsus,2026-05-25 18:31:57.886,,,SIN CLASIFICAR
8,PLATSOBSE-DGSUS-YOLOTL-SAN_LORENZO_HUIPULCO_(PBLO)-59,SAN LORENZO HUIPULCO (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,FONDEO EN FACHADAS,24307.5,m²,actualizacion_dgsus,2026-05-25 18:31:58.016,,,SIN CLASIFICAR
9,PLATSOBSE-DGSUS-YOLOTL-SAN_FRANCISCO_CULHUACAN_(PBLO)-56,SAN FRANCISCO CULHUACAN (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,NUMERO DE CASAS,819.0,CASA (S),actualizacion_dgsus,2026-05-25 18:32:40.021,,,SIN CLASIFICAR
10,PLATSOBSE-DGSUS-YOLOTL-SAN_FRANCISCO_CULHUACAN_(PBLO)-56,SAN FRANCISCO CULHUACAN (PBLO),YOLOTL ANAHUAC,DGSUS,APLICACIÓN,FONDEO EN FACHADAS,63250.0,m²,actualizacion_dgsus,2026-05-25 18:32:40.290,,,SIN CLASIFICAR
