id,clave_unica,nombre_obra,programa,area,dg,indicador,valor,valor_texto,unidad_medida,usuario_actualizacion,fecha_captura,usuario_edicion,fecha_edicion
25,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_LEOPOLDO_RIO_DE_LA_LOZA_09DPR2391G_09DPR2391G,LEOPOLDO RIO DE LA LOZA,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,97,,ALUMNOS,actualizacion_ilife,2026-06-02 22:00:20,,
27,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_MATILDE_ACOSTA_09DPR2220N_09DPR2220N,MATILDE ACOSTA,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,598,,ALUMNOS,actualizacion_ilife,2026-06-02 22:01:31,,
29,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_MARTIN_LUIS_GUZMAN_09DPR3109Z_09DPR3109Z,MARTIN LUIS GUZMAN,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,679,,ALUMNOS,actualizacion_ilife,2026-06-02 22:02:59,,
19,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_LUIS_G_LEON_09DPR2378M_09DPR2378M,LUIS G LEON,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,141,,ALUMNOS,actualizacion_ilife,2026-06-02 21:51:12,actualizacion_ilife,2026-06-03 1:24:28
31,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_CALNAHUAC_09DJN0983O_09DJN0983O,CALNAHUAC,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,206,,ALUMNOS,actualizacion_ilife,2026-06-02 22:07:11,actualizacion_ilife,2026-06-03 1:26:30
21,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_BERTHA_DOMINGUEZ_09DJN0705M_09DJN0705M,BERTHA DOMINGUEZ,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,194,,ALUMNOS,actualizacion_ilife,2026-06-02 21:53:36,actualizacion_ilife,2026-06-03 16:15:11
35,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_MAESTROS_MEXICANOS_09DPR2227G_09DPR2227G,MAESTROS MEXICANOS,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,320,,ALUMNOS,actualizacion_ilife,2026-06-02 22:11:38,actualizacion_ilife,2026-06-03 20:41:15
37,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_ALFONSO_REYES_09DES0166P_09DES0166P,ALFONSO REYES,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,555,,ALUMNOS,actualizacion_ilife,2026-06-02 22:12:44,actualizacion_ilife,2026-06-03 20:45:25
39,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_CAI_SEP_NO_08_LUIS_G_URBINA_09DDI0008U_09DDI0008U,CAI SEP NO 08 LUIS G URBINA,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,27,,ALUMNOS,actualizacion_ilife,2026-06-02 22:14:12,actualizacion_ilife,2026-06-03 20:45:54
41,PLATSOBSE_ILIFE_1_2_3_ESCUELAS_DR_EDUARDO_LICEAGA_09DPR5125D_09DPR5125D,DR EDUARDO LICEAGA,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR",,ILIFE,ALUMNOS BENEFICIADOS,158,,ALUMNOS,actualizacion_ilife,2026-06-02 22:16:43,actualizacion_ilife,2026-06-03 20:46:57
