IDENTIFICADOR,NOMBRE_OBRA,BLOQUE_MUNDIAL,CLAVE_EJE,NOMBRE_EJE,PROGRAMA,CLAVE_PROGRAMA,DG,ORIGEN DEL COMPROMISO,YEAR,FECHA ACTUALIZACION,USUARIO ACTUALIZACION,FECHA INAUGURACION,MOTIVO CANCELACION,ESTATUS,AVANCE REAL,RESPONSABLE_DG,TIPO,SUPERFICIE_M2,MATERIAL,OBSERVACIONES,SEGUIMIENTO,geom,URL DE GOOGLE MAPS,CALLE/DOMICILIO,ALCALDIA,COLONIA,clave_unica,id,estatus_registro,motivo_baja,observaciones_baja,fecha_baja,usuario_baja,creado_por,fecha_creacion
09DST0036O,ESCUELA SECUNDARIA TECNICA 36,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,AUTORIDAD EDUCATIVA,2025,2026-06-10 18:08:23.687,actualizacion_dgcop,,,EN PROCESO,78.0,LUIS PEREZ,SECUNDARIA,,,,DGCOP,0101000020E61000005BEECC04C3C658C02D077AA86D6B3340,https://maps.app.goo.gl/qKM2QPzaPpD3gCwu9,6 DE GENARGO GARCIA,VENUSTIANO CARRANZA,JARDIN BALBUENA I,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_ESCUELA_SECUNDARIA_TECNICA_36_09DST0036O_09DST0036O,2868,ACTIVO,,,,,,
09DST0020N,ESCUELA SECUNDARIA TECNICA 20,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 18:10:44.682,actualizacion_dgcop,,,EN PROCESO,71.0,LUIS PEREZ,SECUNDARIA,,,,DGCOP,0101000020E6100000D13E56F0DBC358C0452DCDAD106A3340,https://maps.app.goo.gl/Afx2gDjbGaRrVPpH8,CALLE 5,IZTACALCO,PANTITLAN II,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_ESCUELA_SECUNDARIA_TECNICA_20_09DST0020N_09DST0020N,2863,ACTIVO,,,,,,
1,ESTACION CALLE 6- LINEA 4,,MOVILIDAD,OBRAS QUE TRANSFORMAN LA MOVILIDAD SUSTENTABLE,METROBUS,METROBUS,DGCOP,OBRAS EN GENERAL,2024,,,,,TERMINADO,100.0,LUIS PEREZ,ESTACION METROBUS,,,,DGCOP,0101000020E610000052635105BAC358C0CD3247B1AE6B3340,"https://www.google.com/maps/place/R%C3%ADo+Churubusco+%26+Calle+6/@19.4206175,-99.0580509,538m/data=!3m1!1e3!4m6!3m5!1s0x85d1fc621407e13d:0x305ed177a3b4d040!8m2!3d19.42066!4d-99.05815!16s%2Fg%2F11vs_ckqpl!5m1!1e2?authuser=0&entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",AV. CHIMALHUACAN,IZTACALCO,PANTITLAN II,PLATSOBSE_DGCOP_SIN_PROG_ESTACION_METROBUS_1,3937,ACTIVO,,,,,,
09DJN0139I,KANTUNIL,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 17:31:31.818,actualizacion_dgcop,,,EN PROCESO,92.0,LUIS PEREZ,PREESCOLAR,,,,DGCOP,0101000020E610000074EB353D28CF58C092770E65A8463340,https://maps.app.goo.gl/Tb2aPso2KunpL2n37,AV MANI 204,TLALPAN,PEDREGAL DE SN NICOLAS 4A SECC I,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_KANTUNIL_09DJN0139I_09DJN0139I,2864,ACTIVO,,,,,,
09DPR2025K,ENRIQUE C. REBSAMEN,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-03 18:58:23.313,actualizacion_dgcop,,,TERMINADO,100.0,LUIS PEREZ,PRIMARIA,,,,DGCOP,0101000020E6100000EBE2361AC0C058C07C7BD7A02F413340,https://maps.app.goo.gl/onkRFjwYHbtRC9ry9,IGNACIO ZARAGOZA,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),PLATSOBSE_DGCOP_1_2_3_ESCUELAS_ENRIQUE_C_REBSAMEN_09DPR2025K_09DPR2025K,2859,ACTIVO,,,,,,
09DPR2495B,PROFRA. ELMIRA ROCHA GARCIA,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 17:52:12.449,actualizacion_dgcop,,,EN PROCESO,88.1,LUIS PEREZ,PRIMARIA,,,,DGCOP,0101000020E6100000F7065F984CCD58C04B598638D6813340,https://maps.app.goo.gl/FnJ2JPPzV1ZiDkth9,OSA MAYOR,AZCAPOTZALCO,EL ROSARIO C (U HAB),PLATSOBSE_DGCOP_1_2_3_ESCUELAS_PROFRA_ELMIRA_ROCHA_GARCIA_09DPR2495B_09DPR2495B,2818,ACTIVO,,,,,,
09DJN1222O,CUICACALLI,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 18:10:55.532,actualizacion_dgcop,,,EN PROCESO,68.11,LUIS PEREZ,PREESCOLAR,,,,DGCOP,0101000020E61000004260E5D022C458C0D61BB5C2F4413340,https://maps.app.goo.gl/oSCviPMbXJYAn42n8,EMILIANO ZAPATA,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),PLATSOBSE_DGCOP_1_2_3_ESCUELAS_CUICACALLI_09DJN1222O_09DJN1222O,2852,ACTIVO,,,,,,
09DES0338R,ESCUELA SECUNDARIA DIURNA JUAN ALVAREZ,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 18:19:30.975,actualizacion_dgcop,,,EN PROCESO,70.06,LUIS PEREZ,SECUNDARIA,,,,DGCOP,0101000020E6100000C43E011423C458C025B37A87DB413340,https://maps.app.goo.gl/sg8XDezu4Q6GRnjZ8,GUSTAVO DIAZ ORDAZ,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),PLATSOBSE_DGCOP_1_2_3_ESCUELAS_ESCUELA_SECUNDARIA_DIURNA_JUAN_ALVAREZ_09DES0338R_09DES0338R,2862,ACTIVO,,,,,,
09DJN1090N,ENRIQUE DUNANT,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 18:24:28.368,actualizacion_dgcop,,,EN PROCESO,49.48,LUIS PEREZ,PREESCOLAR,,,,DGCOP,0101000020E6100000C7293A92CBC958C092B245D26E8C3340,https://maps.app.goo.gl/aAraTagHf54Hiqen7,GUADALUPE,GUSTAVO A. MADERO,CHALMA DE GUADALUPE II,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_ENRIQUE_DUNANT_09DJN1090N_09DJN1090N,2861,ACTIVO,,,,,,
198,198 CALZ. VALLEJO,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGCOP,OBRAS DEL MUNDIAL,2026,,,,,TERMINADO,100.0,LUIS PEREZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E6100000CD58349D9DCA58C0C3B645990D863340,https://maps.app.goo.gl/yJRZsDvD9xhudWhPA,"ATHLETIC FIELD, SANTA ROSA, 07630 CIUDAD DE MÉXICO, CDMX",GUSTAVO A. MADERO,SAN JOSE DE LA ESCALERA,PLATSOBSE_DGCOP_BALON_BARRIO_198_CALZ_VALLEJO_198,2472,ACTIVO,,,,,,
